1265;0c:f3:ee:00:3c:a6;2017-01-24 12:41:02;2017-01-24 12:41:06
1265;0c:f3:ee:00:06:87;2017-01-24 12:41:00;2017-01-24 12:41:05
1265;0c:f3:ee:00:06:87;2017-01-24 22:41:00;2017-01-24 22:41:05
1265;0c:f3:ee:00:06:87;2017-01-24 22:44:00;2017-01-24 22:44:05
1265;0c:f3:ee:00:06:87;2017-01-24 15:17:46;2017-01-24 15:17:50
1265;0c:f3:ee:00:06:87;2017-01-24 15:19:51;2017-01-24 15:19:53
1265;0c:f3:ee:00:06:87;2017-01-24 15:31:34;2017-01-24 15:31:40
1265;0c:f3:ee:00:3c:a6;2017-01-24 15:31:33;2017-01-24 15:31:40
3655;0c:f3:ee:00:06:87;2017-01-24 15:33:13;2017-01-24 15:33:16
3655;0c:f3:ee:00:06:87;2017-01-24 15:33:13;2017-01-24 15:33:16
1265;0c:f3:ee:00:3c:a6;2017-01-24 15:33:11;2017-01-24 15:33:23
Linha_3;0c:f3:ee:00:06:4c;2017-02-21 01:07:53;2017-02-21 01:07:59
Linha_3;0c:f3:ee:00:06:4c;2017-02-21 01:08:18;2017-02-21 01:08:24
Linha_3;0c:f3:ee:00:06:4c;2017-02-21 01:09:41;2017-02-21 01:12:11
1265;0c:f3:ee:00:3c:a6;2017-03-24 12:41:02;2017-03-24 12:41:06
1265;0c:f3:ee:00:06:87;2017-03-24 12:41:00;2017-03-24 12:41:05
1265;0c:f3:ee:00:06:87;2017-03-24 22:41:00;2017-03-24 22:41:05
1265;0c:f3:ee:00:06:87;2017-03-24 22:44:00;2017-03-24 22:44:05
1265;0c:f3:ee:00:06:87;2017-03-24 15:17:46;2017-03-24 15:17:50
1265;0c:f3:ee:00:06:87;2017-03-24 15:19:51;2017-03-24 15:19:53
1265;0c:f3:ee:00:06:87;2017-03-24 15:31:34;2017-03-24 15:31:40
1265;0c:f3:ee:00:3c:a6;2017-03-24 15:31:33;2017-03-24 15:31:40
