Ponto,MAC_Ponto,MAC_Onibus,Hor_Chegada,Hor_Partida
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:3c:a6,12:41:02,12:41:06
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,12:41:00,12:41:05
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,22:41:00,22:41:05
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,22:44:00,22:44:05
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,15:17:46,15:17:50
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,15:19:51,15:19:53
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,15:31:34,15:31:40
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:3c:a6,15:31:33,15:31:40
Ponto,MAC_Ponto,MAC_Onibus,Hor_Chegada,Hor_Partida
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:3c:a6,12:41:02,12:41:06
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,12:41:00,12:41:05
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,22:41:00,22:41:05
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,22:44:00,22:44:05
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,15:17:46,15:17:50
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,15:19:51,15:19:53
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,15:31:34,15:31:40
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:3c:a6,15:31:33,15:31:40
