1265;0c:f3:ee:00:3c:a6;2017-01-24 12:31:02;2017-01-24 12:31:06
1265;0c:f3:ee:00:06:87;2017-01-24 12:31:00;2017-01-24 12:31:05
1265;0c:f3:ee:00:06:87;2017-01-24 22:31:00;2017-01-24 22:31:05
1265;0c:f3:ee:00:06:87;2017-01-24 22:34:00;2017-01-24 22:34:05
1265;0c:f3:ee:00:06:87;2017-01-24 15:07:46;2017-01-24 15:07:50
1265;0c:f3:ee:00:06:87;2017-01-24 15:09:51;2017-01-24 15:09:53
1265;0c:f3:ee:00:06:87;2017-01-24 15:21:34;2017-01-24 15:21:40
1265;0c:f3:ee:00:3c:a6;2017-01-24 15:21:33;2017-01-24 15:21:40
3655;0c:f3:ee:00:06:87;2017-01-24 15:23:13;2017-01-24 15:23:16
1265;0c:f3:ee:00:3c:a6;2017-01-24 15:23:11;2017-01-24 15:23:23
Linha_3;0c:f3:ee:00:06:4c;2017-02-21 00:57:53;2017-02-21 00:57:59
Linha_3;0c:f3:ee:00:06:4c;2017-02-21 00:58:18;2017-02-21 00:58:24
Linha_3;0c:f3:ee:00:06:4c;2017-02-21 01:01:41;2017-02-21 01:02:11
Linha_3;0c:f3:ee:00:06:4c;2017-02-21 11:23:10;2017-02-21 11:23:33
Linha_3;0c:f3:ee:00:06:4c;2017-02-21 11:24:07;2017-02-21 11:24:07
